year,name,college,height_in,weight_lbs,hand_size_in,arm_length_in,40_yard,bench_press,vert_leap_in,broad_jump_in,shuttle,3cone,60yd_shuttle,bodytype,pos,seasons,wAV,games,round,overall,pick,Fitzgerald-Spielberger,Johnson,Schuckers,ras,tsa
1998,Chris Howard,Michigan,69.6,223,9.5,30.5,4.65,19,27,115,4.23,7.49,11.65,STRONG,RB,3,1,22,5,153,25,451,30,160,3.869,1.812
1998,Chris Ruhman,Texas A&M,77.3,313,10,35.25,5.43,13,25.5,91,4.63,8.33,,BIG,OL,2,2,11,3,89,25,725,145,333,2.651,1.435
1998,Cordell Taylor,Hampton (VA),71.8,192,9,31.63,4.46,18,37.5,121,4.21,7.08,10.94,SKILL,DB,2,1,13,2,57,25,951,330,494,6.371,3.946
1998,Corey Chavous,Vanderbilt,71.8,204,9.5,31.63,4.55,15,39.5,120,3.96,7.65,11.41,SKILL,DB,11,42,171,2,33,1,1228,580,670,5.753,3.638
1998,Damien Richardson,Arizona State,73.5,210,10.13,32.5,4.66,17,37,124,3.98,7.33,10.87,SKILL,DB,5,7,77,6,165,5,412,25,145,6.066,4.413
1998,Derrick Ransom,Cincinnati,75.6,281,10.88,35.25,5.14,21,29,103,4.68,7.87,,BIG,DL,7,12,71,6,181,21,366,19,137,4.057,2.146
1998,Dorian Boose,Washington State,76.8,280,9.38,35.38,4.9,22,33,120,4.33,7.81,,BIG,DL,4,5,44,2,56,24,960,340,500,6.475,3.798
1998,Edwin Watson,Purdue,71.6,224,9,32.5,4.6,20,33.5,120,3.95,7.41,11.47,STRONG,RB,2,0,6,7,218,26,271,4,128,5.602,3.212
1998,Eric Brown,Mississippi State,72.3,208,9.75,33.5,4.53,12,40.5,125,4.06,7.08,11.1,SKILL,DB,7,31,97,2,61,29,917,292,471,6.134,3.769
1998,Eric Ogbogu,Maryland,75.9,270,9.25,36.25,4.98,18,32.5,115,4.35,7.93,,BIG,DL,8,11,90,6,163,3,419,26,147,5.286,2.807
1998,Fred Beasley,Auburn,71.4,220,9.5,31.38,4.91,16,32,114,4.18,7.58,11.67,STRONG,RB,8,13,114,6,180,20,368,19,137,2.861,1.437
1998,Glen Steele,Michigan,76.3,292,10.25,32.5,5.15,23,27.5,99,4.4,7.74,,BIG,DL,6,9,90,4,105,9,642,84,272,4.806,2.541
1998,Greg Ellis,North Carolina,77.3,281,10.25,34.63,4.87,26,35.5,118,4.48,8.03,,BIG,DL,12,68,176,1,8,8,1946,1400,918,6.963,4.496
1998,Gregory Favors,Mississippi State,73.4,229,10.25,33.5,4.78,15,32,115,4.29,7.53,11.89,STRONG,LB,8,29,101,4,120,24,574,54,229,3.425,1.892
1998,Harold Shaw,Southern Mississippi,72,230,9,31.75,4.62,18,28.5,105,4.43,7.63,11.97,STRONG,RB,3,0,35,6,176,16,380,21,138,3.297,1.471
1998,Henry Slay,West Virginia,73.4,288,10.75,34.25,5.2,18,29,104,4.57,8.5,,BIG,DL,1,0,3,7,203,11,307,10,134,3.148,1.411
1998,Izell Reese,Alabama-Birmingham,74.1,193,9.75,32.75,4.54,13,39.5,133,4.06,7.09,11.45,SKILL,DB,7,20,93,6,188,28,346,16,137,6.256,3.962
1998,Jason Andersen,Brigham Young,77.6,314,10.25,33.5,5.35,21,29.5,102,4.5,8.42,,BIG,OL,5,1,19,7,211,19,288,7,131,4.323,2.854
1998,Jason Fabini,Cincinnati,78.4,314,11,34.25,5.63,20,25.5,89,4.68,8.41,,BIG,OL,11,53,152,4,111,15,613,72,253,2.896,1.774
1998,Jeremiah Trotter,Stephen F. Austin (TX),72.5,261,10.13,34.38,4.68,32,34,117,4.14,7.62,11.43,STRONG,LB,12,71,147,3,72,8,833,230,412,6.561,4.509
1998,Jeremy Brigham,Washington,76.1,249,9.75,33,4.68,22,30.5,109,4.25,7.71,12.26,STRONG,TE,5,3,47,5,127,31,545,45,213,5.239,3.314
1998,Jeremy Newberry,California,76.9,314,9.75,33.25,5.44,27,27.5,99,4.77,8.34,,BIG,OL,11,52,120,2,58,26,942,320,489,4.115,3.08
1998,Jerry Jensen,Washington,72.3,237,9.13,32.25,4.8,22,31.5,106,4.22,7.52,11.94,STRONG,LB,1,0,10,5,136,8,510,38,193,4.059,2.482
1998,Jim Bundren,Clemson,74.9,303,10.75,32.25,5.16,29,28.5,103,4.43,8.11,,BIG,OL,3,3,27,7,210,18,290,7,131,5.304,3.301
1998,John Avery,Mississippi,69.4,184,9.13,30.5,4.38,17,34.5,121,4.16,7.35,11.09,STRONG,RB,6,4,29,1,29,29,1294,640,705,5.200,2.576
1998,Jonathan Brown,Tennessee,75.9,268,10.13,34.25,5.11,22,32.5,113,4.1,7.81,,BIG,DL,4,0,7,3,90,26,720,140,329,5.553,3.237
1998,Ken Oxendine,Virginia Tech,72.3,228,10.5,32.88,4.75,19,35,119,3.98,7.88,11.64,STRONG,RB,2,6,21,7,201,9,312,11,134,4.841,2.949
1998,Kenny Mixon,Louisiana State,76.4,270,11.38,35,4.9,18,28,111,4.47,8.39,,BIG,DL,7,37,105,2,49,17,1028,410,545,4.681,2.308
1998,Kerry Cooks,Iowa,71.1,198,10,32.5,4.58,15,33.5,116,4.05,7.49,11.23,SKILL,DB,1,1,9,5,144,16,481,34,177,4.547,2.618
1998,Kevin Long,Florida State,77.3,296,10.13,33.25,5.33,21,31.5,103,4.52,8.14,,BIG,OL,4,16,63,7,229,4.278,2.767
1998,Kyle Turley,San Diego State,76.9,309,9.5,35.13,4.95,26,32,112,4.43,7.75,,BIG,OL,10,52,109,1,7,7,2014,1500,930,7.151,4.55
1998,Mark Fischer,Purdue,75.6,293,9.25,33.75,5.23,23,25.5,100,4.43,7.88,,BIG,OL,3,6,22,5,140,12,496,36,185,4.064,2.118
1998,Matt Birk,Harvard,76.9,308,9.75,32.5,5.4,21,29.5,106,4.45,8.13,,BIG,OL,15,83,210,6,173,13,388,22,140,4.315,2.85
1998,Michael Myers,Alabama,74.4,285,9.5,34.75,5.11,21,25,99,5.1,8.47,,BIG,DL,10,34,138,4,100,4,666,100,289,2.625,1.063
1998,Michael Pittman,Frenso State (CA),71.5,214,9.5,29.88,4.5,22,35,120,4.37,7.54,11.74,STRONG,RB,11,50,151,4,95,31,692,120,308,5.570,3.381
1998,Mike Goff,Iowa,77.1,314,9.5,33.25,5.11,24,26.5,109,4.53,8.05,,BIG,OL,12,62,171,3,78,14,792,200,383,5.565,3.518
1998,Mo Collins,Florida,76.3,337,11.25,35,5.47,30,31.5,99,4.93,8.88,,BIG,OL,6,29,71,1,23,23,1411,760,761,4.555,3.587
1998,Olin Kreutz,Washington,74.1,300,9.75,31.5,5.32,30,28,100,4.55,8.1,,BIG,OL,14,73,195,3,64,32,892,270,454,4.332,2.826
1998,Oliver Ross,Iowa State,76.4,301,9.5,35.25,5.21,24,26.5,97,4.59,8.15,,BIG,OL,9,24,89,5,138,10,503,37,189,4.148,2.442
1998,Phil Ostrowski,Penn State,76.4,282,9.13,32.75,5.44,15,26,96,4.7,8.07,,BIG,OL,3,2,28,5,151,23,457,31,164,2.159,0.985
1998,Robert Hicks,Mississippi State,79.4,351,10.5,36.25,5.65,22,21,97,5.07,9.17,,BIG,OL,3,13,37,3,68,4,862,250,433,2.923,1.901
1998,Robert Holcombe,Illinois,70.9,216,9.88,32.25,4.53,23,35,126,4.15,7.49,11.59,STRONG,RB,7,14,97,2,37,5,1170,530,636,6.267,3.771
1998,Roland Williams,Syracuse,76.9,263,10,34.25,4.94,18,36.5,120,4.21,7.71,12.14,STRONG,TE,8,9,94,4,98,2,676,108,297,5.197,3.837
